feature,importance
competitors_avg_distance,0.3672344982624054
foot_traffic_score,0.1830771267414093
competitors_min_distance,0.14880411326885223
population_density_proxy,0.13148772716522217
schools_within_500m,0.11111319065093994
bus_stops_within_500m,0.011356276459991932
hospitals_within_500m,0.007080468814820051
competitors_within_500m,0.007053896319121122
schools_within_200m,0.005607003811746836
accessibility_score,0.005243185441941023
bus_stops_min_distance,0.004397363401949406
roads_within_500m,0.00394981075078249
hospitals_min_distance,0.0034203350078314543
competition_pressure,0.0031803182791918516
schools_min_distance,0.0031335284002125263
competitors_within_200m,0.0021747350692749023
roads_avg_distance,0.001686439267359674
