feature,importance
competitors_avg_distance,0.6785621264565017
schools_within_500m,0.14693119578860717
population_density_proxy,0.11519707968569981
foot_traffic_score,0.02320483241426247
schools_min_distance,0.004602838251073939
competitors_within_500m,0.0041790101218197335
accessibility_score,0.003779432011326963
hospitals_min_distance,0.0034102124580460214
bus_stops_min_distance,0.0031531170803220953
competitors_min_distance,0.003106855787762168
roads_within_500m,0.0027697020562032024
schools_within_200m,0.0026590123027565053
bus_stops_within_500m,0.0021413651737100295
competition_pressure,0.0019857284010984496
hospitals_within_500m,0.0018635331943529395
competitors_within_200m,0.001248547614215591
roads_avg_distance,0.001205411202241248
