feature,importance
competition_pressure,0.6220709085464478
population_density_proxy,0.09370986372232437
competitors_within_200m,0.06941287219524384
competitors_within_500m,0.06461309641599655
foot_traffic_score,0.05359509214758873
accessibility_score,0.022696714848279953
bus_stops_within_500m,0.016906386241316795
roads_within_500m,0.013156142085790634
bus_stops_min_distance,0.011545802466571331
roads_avg_distance,0.008383887819945812
hospitals_min_distance,0.005537896417081356
schools_within_500m,0.004778771195560694
hospitals_within_500m,0.0037602039519697428
competitors_min_distance,0.0027879595290869474
competitors_avg_distance,0.002537839114665985
schools_within_200m,0.002510175108909607
schools_min_distance,0.001996366772800684
