place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at,observed_outcome_score,observed_outcome_confidence,observed_outcome_tier,labeling_version
osm_8371901618,Arabica Coffee,cafe,openstreetmap,27.7209374,85.3621615,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,17.0,0.0,237.89,3.0,350.6,5.0,2.0,134.72,4.0,53.04,1.0,178.61,9,2,2257,5.5944,1.39,6.9,10.0,14.3522,10.9895,enriched,True,14,4,134.72,4,2,53.04,0,0,1535.86,35,15,18.95,5279.21,8,2026-03-23T08:50:30.648265+00:00,70.4681,0.8256,high_outcome,observed_outcome_v1
osm_4250466798,Bliss Raw cafe,cafe,openstreetmap,27.7222497,85.3623753,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,19.0,0.0,212.23,6.0,348.43,10.0,0.0,278.43,4.0,199.3,2.0,274.11,13,0,1834,6.053,1.92,6.7,10.0,14.4412,10.9895,enriched,True,23,0,234.93,4,1,199.3,0,0,1594.42,36,18,36.67,5352.89,8,2026-03-23T08:50:30.648265+00:00,71.2261,0.8281,high_outcome,observed_outcome_v1
osm_12724633923,Cafe 888,cafe,openstreetmap,27.7232792,85.3601211,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,4.0,0.0,316.71,8.0,396.6,13.0,1.0,46.5,4.0,144.22,4.0,310.65,16,2,3572,8.1362,1.94,10.0,10.0,15.6022,10.9895,enriched,True,29,3,46.5,4,1,144.22,0,0,1427.87,36,3,98.08,5278.92,8,2026-03-23T08:50:30.648265+00:00,78.1921,0.8733,high_outcome,observed_outcome_v1
osm_1044375800,Cafe Du Temple,cafe,openstreetmap,27.7217332,85.3614154,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,17.0,0.0,231.58,5.0,385.53,7.0,0.0,234.2,4.0,148.83,2.0,168.95,10,0,1132,4.9065,1.59,5.8,10.0,14.0272,10.9895,enriched,True,17,0,213.63,4,2,148.83,0,0,1487.19,35,15,27.92,5273.0,8,2026-03-23T08:50:30.648265+00:00,66.3896,0.8009,medium_outcome,observed_outcome_v1
osm_211905448,Cafe Terrace D'Stupa,cafe,openstreetmap,27.7210726,85.3624842,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,35.0,17.0,35.14,5304.24,8.0,1500.0,14.0,4.0,147.71,4.0,72.74,0.0,1570.17,9,2,2257,5.5944,2.1,5.57125,10.0,14.1002,10.9895,fallback,True,14,4,147.71,4,2,72.74,0,0,1570.17,35,17,35.14,5304.24,8,2026-03-23T08:50:30.648265+00:00,69.9614,0.8256,medium_outcome,observed_outcome_v1
osm_9526032518,Chiya bhatea,cafe,openstreetmap,27.7180789,85.3485083,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,17.0,5.0,0.0,270.35,88.0,262.69,28.0,2.0,144.54,6.0,46.6,5.0,65.3,27,2,10354,12.199,5.29,10.0,10.0,16.6072,10.9895,enriched,True,59,6,41.94,43,18,13.84,2,1,155.62,16,4,48.58,4477.5,8,2026-03-23T08:50:30.648265+00:00,89.8851,0.9564,high_outcome,observed_outcome_v1
osm_13003480709,Coffee Beans,cafe,openstreetmap,27.7203493,85.3587164,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,26.0,2.0,0.0,344.51,3.0,371.93,10.0,0.0,243.55,4.0,305.25,2.0,168.14,9,2,4357,5.726,1.41,5.2,10.0,13.7632,10.9895,enriched,True,19,2,3.5,4,0,305.25,0,0,1190.72,23,1,82.07,5062.01,8,2026-03-23T08:50:30.648265+00:00,70.8738,0.8413,high_outcome,observed_outcome_v1
osm_3626551798,Coffee Shop,cafe,openstreetmap,27.7219218,85.3624147,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,39.0,22.0,0.0,219.57,6.0,371.93,9.0,0.0,241.95,4.0,163.39,2.0,252.53,13,0,1834,6.053,1.71,6.4,10.0,14.2732,10.9895,enriched,True,22,0,241.95,4,2,163.39,0,0,1587.46,36,20,34.56,5339.38,8,2026-03-23T08:50:30.648265+00:00,70.8892,0.8281,high_outcome,observed_outcome_v1
osm_13347144911,De' Alpha Cafe,cafe,openstreetmap,27.7269047,85.3696624,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.0,67.66,2.0,256.55,9.0,1.0,112.68,1.0,273.75,1.0,110.63,9,1,4858,5.2977,1.62,6.9,1.77,14.4212,10.9895,enriched,True,18,2,112.68,1,0,273.75,0,0,2075.6,1,1,135.32,6055.45,8,2026-03-23T08:50:30.648265+00:00,72.1299,0.8372,high_outcome,observed_outcome_v1
osm_13005579746,Filli,cafe,openstreetmap,27.7213867,85.3613665,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,39.0,16.0,0.0,246.99,4.0,376.6,6.0,0.0,209.34,4.0,113.92,1.0,136.09,10,0,2257,5.0444,1.56,5.2,10.0,13.8082,10.9895,enriched,True,16,0,209.34,4,2,113.92,0,0,1471.97,36,14,38.83,5254.02,8,2026-03-23T08:50:30.648265+00:00,67.9277,0.8173,medium_outcome,observed_outcome_v1
osm_501762038,GCafe/GMart,cafe,openstreetmap,27.7202708,85.3625822,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,32.0,11.0,15.53,5275.1,8.0,1500.0,14.0,6.0,60.8,3.0,41.87,0.0,1562.09,9,3,2257,6.0444,1.95,5.57125,9.6,14.0552,10.9895,fallback,True,14,6,60.8,3,2,41.87,0,0,1562.09,32,11,15.53,5275.1,8,2026-03-23T08:50:30.648265+00:00,70.9794,0.8323,high_outcome,observed_outcome_v1
osm_4198642246,Himalayan Cafe,cafe,openstreetmap,27.7215128,85.3626336,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,19.0,0.0,220.94,5.0,382.38,8.0,1.0,197.71,4.0,123.76,2.0,245.71,11,1,1132,5.7065,1.4,8.1,10.0,14.7752,10.9895,enriched,True,19,2,197.71,4,2,123.76,0,0,1596.11,35,17,15.93,5333.11,8,2026-03-23T08:50:30.648265+00:00,69.8776,0.8128,medium_outcome,observed_outcome_v1
osm_5075026794,Himalayan Java Coffee,cafe,openstreetmap,27.7219078,85.3616193,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,17.0,0.0,223.05,6.0,387.96,7.0,0.0,237.41,4.0,164.07,2.0,196.49,10,0,1132,4.9065,1.71,5.8,10.0,14.0632,10.9895,enriched,True,17,0,229.82,4,2,164.07,0,0,1512.04,35,15,26.3,5292.84,8,2026-03-23T08:50:30.648265+00:00,66.4754,0.8009,medium_outcome,observed_outcome_v1
osm_10013318519,Karma Cafe,cafe,openstreetmap,27.7242888,85.362194,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,36.0,8.0,0.0,262.15,6.0,237.35,13.0,1.0,169.15,5.0,235.06,2.0,197.03,14,2,4607,7.4871,2.82,10.0,10.0,15.8662,10.9895,enriched,True,27,3,83.23,5,0,235.06,0,0,1546.07,34,7,20.03,5447.61,8,2026-03-23T08:50:30.648265+00:00,77.3704,0.8689,high_outcome,observed_outcome_v1
osm_2978585626,Khawa Karpo Tasty Noodle Factory,cafe,openstreetmap,27.7248538,85.3644964,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,29.0,6.0,0.0,290.18,6.0,189.02,15.0,4.0,115.25,2.0,456.36,2.0,199.73,13,5,6147,8.5448,3.13,7.9,10.0,15.2242,10.9895,enriched,True,28,9,109.27,2,0,456.36,0,0,1701.05,28,5,26.75,5614.57,8,2026-03-23T08:50:30.648265+00:00,80.7663,0.8907,high_outcome,observed_outcome_v1
osm_9933907125,Meraki,cafe,openstreetmap,27.7202241,85.3595381,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0,314.11,1.0,91.64,9.0,0.0,287.57,4.0,225.5,1.0,91.64,9,2,4357,5.726,1.58,8.6,10.0,15.0042,10.9895,enriched,True,18,2,79.25,4,0,225.5,0,0,1266.68,26,2,82.07,5100.62,8,2026-03-23T08:50:30.648265+00:00,72.9573,0.8413,high_outcome,observed_outcome_v1
osm_2990731066,New Chatterbox Cafe,cafe,openstreetmap,27.7246276,85.3645888,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,30.0,7.0,0.0,288.64,6.0,197.89,15.0,3.0,139.78,2.0,430.64,2.0,222.76,13,5,6147,8.5448,2.99,7.9,10.0,15.1822,10.9895,enriched,True,28,8,134.98,2,0,430.64,0,0,1721.65,29,6,26.75,5607.9,8,2026-03-23T08:50:30.648265+00:00,80.7851,0.8907,high_outcome,observed_outcome_v1
osm_10683118905,Ohana Cafe,cafe,openstreetmap,27.723121,85.3591408,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,32.0,2.0,0.0,346.26,5.0,387.86,12.0,1.0,52.05,4.0,172.47,4.0,261.44,15,2,3860,7.8017,1.73,9.9,10.0,15.5042,10.9895,enriched,True,27,3,52.05,4,1,172.47,0,0,1329.96,30,1,98.08,5218.46,8,2026-03-23T08:50:30.648265+00:00,77.5068,0.8699,high_outcome,observed_outcome_v1
osm_5009206299,Ramsterdam Cafe,cafe,openstreetmap,27.7268544,85.3645336,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,17.0,2.0,0.0,333.33,6.0,251.15,13.0,6.0,18.2,0.0,500.0,2.0,190.53,12,5,3687,8.0926,2.9,6.5,10.0,14.6652,10.9895,enriched,True,25,11,18.2,0,0,529.69,0,0,1603.99,17,1,122.61,5730.71,8,2026-03-23T08:50:30.648265+00:00,78.2275,0.8733,high_outcome,observed_outcome_v1
osm_2297964825,Roadhouse Cafe,cafe,openstreetmap,27.7209107,85.3619714,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,37.0,16.0,0.0,233.97,3.0,351.97,5.0,2.0,136.5,4.0,54.27,1.0,159.81,9,2,2257,5.5944,1.44,6.9,10.0,14.3672,10.9895,enriched,True,14,4,136.5,4,2,54.27,0,0,1516.95,34,14,18.95,5266.96,8,2026-03-23T08:50:30.648265+00:00,70.4848,0.8256,high_outcome,observed_outcome_v1
osm_440880101,Samjhana's Cafe,cafe,openstreetmap,27.7201671,85.3614127,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,29.0,12.0,90.7,5202.52,8.0,1500.0,18.0,4.0,108.69,3.0,50.12,0.0,1446.7,10,2,4357,6.076,1.95,5.57125,8.7,14.0552,10.9895,fallback,True,18,4,108.69,3,2,50.12,0,0,1446.7,29,12,90.7,5202.52,8,2026-03-23T08:50:30.648265+00:00,72.5438,0.8465,high_outcome,observed_outcome_v1
osm_9933907021,Stupa Tea,cafe,openstreetmap,27.717834,85.3616274,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,20.0,2.0,0.0,340.44,1.0,319.28,13.0,1.0,133.53,4.0,290.65,1.0,319.28,12,1,5157,6.3597,0.7,9.3,10.0,14.9852,10.9895,enriched,True,25,2,119.41,4,0,290.65,0,0,1445.76,17,0,260.29,5121.65,8,2026-03-23T08:50:30.648265+00:00,75.108,0.8543,high_outcome,observed_outcome_v1
osm_3626551800,Unknown Cafe,cafe,openstreetmap,27.7233361,85.3632029,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,37.0,16.0,0.0,230.09,6.0,261.63,16.0,0.0,258.42,4.0,329.2,2.0,292.33,15,1,5874,7.4357,2.49,7.0,10.0,14.7172,10.9895,enriched,True,31,1,106.07,4,0,329.2,0,0,1689.1,35,15,14.66,5456.06,8,2026-03-23T08:50:30.648265+00:00,77.9439,0.8732,high_outcome,observed_outcome_v1
osm_3626560512,Unknown Cafe,cafe,openstreetmap,27.7224812,85.3631641,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,37.0,16.0,0.0,218.04,6.0,325.23,14.0,0.0,311.72,4.0,243.04,2.0,349.0,16,0,5874,7.3357,1.96,7.9,10.0,14.8732,10.9895,enriched,True,30,0,200.28,4,0,243.04,0,0,1676.21,35,15,71.15,5410.89,8,2026-03-23T08:50:30.648265+00:00,77.7502,0.8717,high_outcome,observed_outcome_v1
osm_3649326367,Unknown Cafe,cafe,openstreetmap,27.7223113,85.363861,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,36.0,11.0,0.0,239.85,6.0,346.26,13.0,0.0,279.25,4.0,198.12,2.0,394.51,15,0,6934,7.0189,1.61,7.6,10.0,14.6632,10.9895,enriched,True,28,0,233.26,4,1,198.12,0,0,1736.26,34,10,23.68,5444.94,8,2026-03-23T08:50:30.648265+00:00,77.3277,0.8704,high_outcome,observed_outcome_v1
osm_4513310490,Unknown Cafe,cafe,openstreetmap,27.724934,85.3606975,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,32.0,5.0,0.0,337.43,9.0,360.26,15.0,1.0,190.63,2.0,96.02,5.0,243.54,16,0,5596,7.326,2.24,10.0,10.0,15.6922,10.9895,enriched,True,31,1,190.63,2,1,96.02,0,0,1385.3,31,4,159.24,5400.09,8,2026-03-23T08:50:30.648265+00:00,77.2994,0.8705,high_outcome,observed_outcome_v1
osm_4537066792,Unknown Cafe,cafe,openstreetmap,27.7206883,85.3621215,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,36.0,16.0,0.0,237.23,3.0,365.14,5.0,2.0,108.55,4.0,26.75,1.0,169.18,9,2,2257,5.5944,1.37,6.9,10.0,14.3462,10.9895,enriched,True,14,4,108.55,4,2,26.75,0,0,1526.15,33,14,27.98,5265.89,8,2026-03-23T08:50:30.648265+00:00,70.4603,0.8256,high_outcome,observed_outcome_v1
osm_4542809792,Unknown Cafe,cafe,openstreetmap,27.7249512,85.3530592,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,8.0,1.0,0.0,313.3,6.0,389.26,18.0,4.0,146.86,1.0,456.0,4.0,306.66,20,4,7390,10.5816,1.85,9.0,5.59,15.2252,10.9895,enriched,True,38,8,145.63,2,0,456.0,0,0,796.36,8,0,299.23,5021.32,8,2026-03-23T08:50:30.648265+00:00,85.2184,0.9251,high_outcome,observed_outcome_v1
osm_4566227089,Unknown Cafe,cafe,openstreetmap,27.721634,85.3625473,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,20.0,0.0,216.83,6.0,392.93,7.0,0.0,210.39,4.0,134.23,2.0,244.87,11,0,1238,5.2744,1.5,5.8,10.0,14.0002,10.9895,enriched,True,18,0,210.39,4,2,134.23,0,0,1591.35,35,18,15.93,5333.62,8,2026-03-23T08:50:30.648265+00:00,67.5266,0.8082,medium_outcome,observed_outcome_v1
osm_4784314322,Unknown Cafe,cafe,openstreetmap,27.7204891,85.3564284,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,8.0,1.0,0.0,358.26,4.0,346.5,12.0,2.0,184.49,1.0,451.43,3.0,309.04,11,0,4420,5.5288,1.74,6.9,5.59,14.4572,10.9895,enriched,True,23,2,184.49,1,0,451.43,0,0,977.29,7,0,225.75,4949.86,8,2026-03-23T08:50:30.648265+00:00,71.7182,0.8387,high_outcome,observed_outcome_v1
osm_4832161821,Unknown Cafe,cafe,openstreetmap,27.7234946,85.3622495,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,12.0,0.0,237.25,6.0,271.66,14.0,0.0,249.71,4.0,265.98,2.0,280.24,16,1,3674,7.6919,2.55,7.9,10.0,15.0502,10.9895,enriched,True,30,1,116.85,4,0,265.98,0,0,1604.39,36,11,34.03,5408.45,8,2026-03-23T08:50:30.648265+00:00,77.3575,0.8672,high_outcome,observed_outcome_v1
osm_5604211228,Unknown Cafe,cafe,openstreetmap,27.7201859,85.3627075,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,35.0,12.0,0.0,268.35,2.0,352.08,5.0,3.0,57.06,3.0,57.32,1.0,228.18,9,3,2257,6.0444,1.08,6.5,10.0,14.1192,10.9895,enriched,True,14,6,56.98,3,2,57.32,0,0,1572.7,32,10,15.53,5279.0,8,2026-03-23T08:50:30.648265+00:00,71.1267,0.8323,high_outcome,observed_outcome_v1
osm_5631392922,Unknown Cafe,cafe,openstreetmap,27.7234135,85.3619161,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,14.0,0.0,240.1,6.0,288.48,15.0,0.0,223.09,5.0,241.56,2.0,297.91,18,1,4164,8.4169,2.45,8.6,10.0,15.2652,10.9895,enriched,True,33,1,146.59,5,0,241.56,0,0,1584.76,36,13,34.03,5385.17,8,2026-03-23T08:50:30.648265+00:00,79.3726,0.8807,high_outcome,observed_outcome_v1
osm_5747075923,Unknown Cafe,cafe,openstreetmap,27.7238984,85.3651352,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,34.0,5.0,0.0,318.99,6.0,269.05,13.0,1.0,142.9,2.0,349.85,2.0,317.7,13,1,6747,6.7634,2.19,7.3,10.0,14.7322,10.9895,enriched,True,26,2,142.9,2,0,349.85,0,0,1809.86,32,4,78.22,5603.19,8,2026-03-23T08:50:30.648265+00:00,76.8197,0.866,high_outcome,observed_outcome_v1
osm_6022260588,Unknown Cafe,cafe,openstreetmap,27.7234595,85.3631504,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,36.0,15.0,0.0,225.01,6.0,253.5,15.0,0.0,244.31,4.0,343.69,2.0,278.17,15,1,5874,7.4357,2.57,6.7,10.0,14.6362,10.9895,enriched,True,30,1,91.78,4,0,343.69,0,0,1676.68,34,14,14.66,5459.29,8,2026-03-23T08:50:30.648265+00:00,77.7642,0.8732,high_outcome,observed_outcome_v1
osm_6022300686,Unknown Cafe,cafe,openstreetmap,27.7220987,85.3638741,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,36.0,11.0,0.0,243.54,6.0,363.98,13.0,0.0,255.6,4.0,177.24,2.0,384.1,15,0,6934,7.0189,1.45,7.6,10.0,14.6152,10.9895,enriched,True,28,0,255.6,4,1,177.24,0,0,1730.98,34,10,23.68,5435.6,8,2026-03-23T08:50:30.648265+00:00,77.2362,0.8704,high_outcome,observed_outcome_v1
osm_6022301486,Unknown Cafe,cafe,openstreetmap,27.7243311,85.3645086,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,34.0,7.0,0.0,295.62,6.0,208.27,15.0,2.0,173.07,3.0,398.34,2.0,240.47,14,3,7547,8.0358,2.8,8.3,10.0,15.2652,10.9895,enriched,True,29,5,144.72,3,0,398.34,0,0,1732.06,32,6,33.9,5587.06,8,2026-03-23T08:50:30.648265+00:00,80.0656,0.8874,high_outcome,observed_outcome_v1
osm_6992115285,Unknown Cafe,cafe,openstreetmap,27.7240831,85.3642503,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,34.0,8.0,0.0,272.56,5.0,155.97,14.0,0.0,203.59,4.0,374.06,1.0,247.1,12,2,5917,6.8372,2.74,6.1,10.0,14.4772,10.9895,enriched,True,26,2,121.15,4,0,374.06,0,0,1725.42,32,7,37.51,5558.14,8,2026-03-23T08:50:30.648265+00:00,76.0786,0.8644,high_outcome,observed_outcome_v1
osm_7052554985,Unknown Cafe,cafe,openstreetmap,27.721969,85.3618774,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,38.0,18.0,0.0,216.37,6.0,377.53,8.0,0.0,252.68,4.0,169.84,2.0,217.83,12,0,1728,5.6911,1.76,6.1,10.0,14.1832,10.9895,enriched,True,20,0,252.68,4,2,169.84,0,0,1538.32,35,16,26.3,5310.5,8,2026-03-23T08:50:30.648265+00:00,69.6436,0.8214,medium_outcome,observed_outcome_v1
osm_7101308686,Unknown Cafe,cafe,openstreetmap,27.723202,85.3503368,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,10.0,4.0,0.0,260.21,9.0,386.34,16.0,4.0,27.13,1.0,333.52,2.0,372.56,20,5,6095,10.9931,1.7,7.8,6.87,14.7602,10.9895,enriched,True,36,9,27.13,4,1,139.49,1,0,484.17,9,3,133.34,4804.08,8,2026-03-23T08:50:30.648265+00:00,85.6571,0.9272,high_outcome,observed_outcome_v1
osm_9399500417,Unknown Cafe,cafe,openstreetmap,27.7244291,85.3623216,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,36.0,9.0,0.0,268.86,6.0,226.56,13.0,2.0,149.65,5.0,246.19,2.0,178.15,14,3,4607,7.9371,2.89,10.0,10.0,15.8872,10.9895,enriched,True,27,5,72.61,5,0,246.19,0,0,1547.02,34,8,20.03,5462.57,8,2026-03-23T08:50:30.648265+00:00,78.4531,0.8756,high_outcome,observed_outcome_v1
osm_9722112517,Unknown Cafe,cafe,openstreetmap,27.7308836,85.363403,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,0.0,221.86,0.0,500.0,6.0,1.0,159.37,0.0,500.0,0.0,500.0,4,1,2080,3.3781,0.0,3.8,2.41,12.8502,10.9895,enriched,True,10,2,159.37,0,0,740.82,0,0,1374.75,3,0,203.93,5917.46,8,2026-03-23T08:50:30.648265+00:00,61.3876,0.7907,medium_outcome,observed_outcome_v1
osm_9722112917,Unknown Cafe,cafe,openstreetmap,27.7312652,85.3654296,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,0.0,234.08,0.0,500.0,8.0,1.0,45.95,0.0,500.0,0.0,500.0,6,1,2463,4.1119,0.0,4.4,2.41,13.0602,10.9895,enriched,True,14,2,43.28,0,0,566.09,0,0,1568.16,2,0,203.93,6058.92,8,2026-03-23T08:50:30.648265+00:00,64.1401,0.8052,medium_outcome,observed_outcome_v1
osm_9722113223,Unknown Cafe,cafe,openstreetmap,27.7344926,85.3704571,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,500.0,2.0,1.0,187.75,0.0,500.0,0.0,500.0,1,0,160,1.3663,0.0,2.6,1.14,12.4302,10.9895,enriched,True,3,1,187.75,0,0,589.54,0,0,2067.64,0,0,611.25,6576.63,8,2026-03-23T08:50:30.648265+00:00,49.8752,0.707,medium_outcome,observed_outcome_v1
osm_10888679205,Unknown Cafe,cafe,openstreetmap,27.7262508,85.3634911,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,21.0,3.0,0.0,304.15,5.0,126.72,12.0,6.0,51.17,1.0,407.52,1.0,68.01,10,5,2217,7.2909,3.39,8.8,10.0,15.6172,10.9895,enriched,True,22,11,51.17,1,0,407.52,0,0,1539.66,21,2,122.61,5633.64,8,2026-03-23T08:50:30.648265+00:00,75.1505,0.8506,high_outcome,observed_outcome_v1
osm_11346408569,Unknown Cafe,cafe,openstreetmap,27.7281049,85.3698895,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.0,67.66,2.0,229.09,7.0,3.0,94.68,1.0,144.2,1.0,178.94,7,3,1452,5.2563,1.51,6.3,1.77,14.1782,10.9895,enriched,True,14,6,94.68,1,1,144.2,0,0,2060.86,1,1,135.32,6138.59,8,2026-03-23T08:50:30.648265+00:00,68.5669,0.8113,medium_outcome,observed_outcome_v1
osm_10013318128,Utpala Cafe,cafe,openstreetmap,27.7246357,85.3622798,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,35.0,8.0,0.0,277.5,6.0,222.25,14.0,2.0,131.22,5.0,241.9,2.0,158.02,14,3,4607,7.9371,2.92,10.0,10.0,15.8962,10.9895,enriched,True,28,5,84.64,5,0,241.9,0,0,1530.35,33,7,23.34,5471.56,8,2026-03-23T08:50:30.648265+00:00,78.4398,0.8756,high_outcome,observed_outcome_v1
osm_9526113017,काठमाडौं खाद्य क्याफे,cafe,openstreetmap,27.7182541,85.3489604,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,17.0,5.0,0.0,278.87,84.0,285.05,28.0,4.0,121.2,6.0,10.23,5.0,113.82,29,4,11874,13.8264,4.85,10.0,10.0,16.4752,10.9895,enriched,True,60,10,20.26,43,13,10.23,2,0,202.7,16,4,48.58,4503.66,8,2026-03-23T08:50:30.648265+00:00,92.9909,0.9765,high_outcome,observed_outcome_v1
osm_9526108918,वी२ क्याफे,cafe,openstreetmap,27.7186321,85.3494023,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,15.0,4.0,0.0,266.73,75.0,307.57,27.0,6.0,127.71,6.0,67.21,5.0,105.67,28,6,11809,14.3753,4.39,10.0,10.0,16.3372,10.9895,enriched,True,58,14,77.34,43,7,15.75,2,0,255.62,14,3,60.49,4538.67,8,2026-03-23T08:50:30.648265+00:00,92.993,0.9764,high_outcome,observed_outcome_v1
osm_4366575104,स्वादिष्ट समोसा!,cafe,openstreetmap,27.728116,85.3544721,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,0.0,292.53,3.0,355.42,11.0,2.0,48.18,1.0,410.46,3.0,256.5,12,1,4425,6.3291,1.68,6.6,2.41,14.3342,10.9895,enriched,True,23,3,46.75,1,0,410.46,0,0,690.68,3,0,280.48,5279.22,8,2026-03-23T08:50:30.648265+00:00,72.8908,0.8507,high_outcome,observed_outcome_v1
