place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at,observed_outcome_score,observed_outcome_confidence,observed_outcome_tier,labeling_version
osm_2006419428,Aabhusan Cafe,cafe,openstreetmap,27.712805,85.32775,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,11.0,2.0,0.0,307.75,18.0,280.47,9.0,1.0,173.96,3.0,287.46,1.0,355.39,9,0,4729,4.8423,3.02,7.7,7.5,5.2768,8.7365,enriched,True,22,1,173.96,16,5,17.08,0,0,1250.5,10,1,197.9,3770.7,8,2026-03-23T08:50:30.648265+00:00,37.1725,0.6995,low_outcome,observed_outcome_v1
osm_10973663605,Chiya Ghar,cafe,openstreetmap,27.7075147,85.3231409,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,23.0,13.0,0.0,214.36,10.0,304.17,15.0,2.0,74.75,5.0,203.68,2.0,79.62,19,2,17395,9.5028,3.75,10.0,10.0,6.3008,8.7365,enriched,True,43,6,74.75,14,3,59.64,0,0,638.73,22,12,48.26,3617.55,8,2026-03-23T08:50:30.648265+00:00,53.1756,0.7924,medium_outcome,observed_outcome_v1
osm_2097704747,Coffee Express,cafe,openstreetmap,27.710668,85.3177124,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,26.0,8.0,0.0,252.76,29.0,267.82,13.0,1.0,132.43,3.0,294.78,3.0,187.95,10,1,14253,5.863,4.44,9.5,10.0,6.3328,8.7365,enriched,True,24,2,126.12,5,0,294.78,1,0,276.59,24,7,18.61,3747.39,8,2026-03-23T08:50:30.648265+00:00,44.7917,0.7378,medium_outcome,observed_outcome_v1
osm_4890884826,Coffee Pasal,cafe,openstreetmap,27.7126275,85.3174486,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,30.0,6.0,0.0,316.88,24.0,206.68,9.0,0.0,348.28,1.0,320.94,2.0,154.2,5,0,300,2.8914,4.76,3.7,10.0,4.3988,8.7365,enriched,True,15,0,341.62,3,0,275.45,1,0,255.29,28,4,6.45,3813.96,8,2026-03-23T08:50:30.648265+00:00,26.0333,0.6127,low_outcome,observed_outcome_v1
osm_1898521001,Espression the cafe,cafe,openstreetmap,27.7150782,85.3265014,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,18.0,2.0,0.0,293.89,14.0,293.58,7.0,1.0,187.62,3.0,62.26,1.0,432.3,7,1,4628,4.588,2.66,7.1,10.0,4.9588,8.7365,enriched,True,15,2,182.91,12,4,62.26,0,0,1184.71,17,1,192.07,3850.89,8,2026-03-23T08:50:30.648265+00:00,36.3537,0.6953,low_outcome,observed_outcome_v1
osm_9450093517,Fresh Bite Cafe,cafe,openstreetmap,27.7092816,85.3248981,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,26.0,4.0,0.0,325.51,13.0,254.31,8.0,1.0,85.0,6.0,345.08,2.0,138.32,13,5,10256,8.6471,4.34,7.4,10.0,5.5678,8.7365,enriched,True,29,7,40.69,14,1,88.21,0,0,866.94,25,3,70.25,3655.07,8,2026-03-23T08:50:30.648265+00:00,48.7897,0.7727,medium_outcome,observed_outcome_v1
osm_6056855122,Himalayan Beanz barista and bakery school,cafe,openstreetmap,27.7085974,85.3259225,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,24.0,6.0,0.0,314.45,13.0,294.0,12.0,1.0,182.36,6.0,292.25,2.0,154.39,13,4,5695,8.0795,3.73,10.0,10.0,6.2948,8.7365,enriched,True,34,7,60.77,12,1,189.59,0,0,934.91,23,5,122.3,3639.97,8,2026-03-23T08:50:30.648265+00:00,47.5024,0.7519,medium_outcome,observed_outcome_v1
osm_3076357353,Himalayan Java,cafe,openstreetmap,27.7069817,85.323031,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,22.0,12.0,0.0,193.46,9.0,324.22,19.0,2.0,44.02,8.0,143.66,2.0,40.39,20,1,17898,9.4085,3.26,10.0,10.0,6.1538,8.7365,enriched,True,48,5,44.02,22,6,19.06,0,0,616.36,21,11,12.0,3607.64,8,2026-03-23T08:50:30.648265+00:00,52.6303,0.791,medium_outcome,observed_outcome_v1
osm_9407484722,Himalayan Java Coffee,cafe,openstreetmap,27.710216,85.3219827,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,29.0,1.0,0.0,373.73,20.0,334.07,6.0,0.0,252.26,0.0,500.0,3.0,366.8,11,0,7675,5.6392,2.67,2.7,10.0,3.4218,8.7365,enriched,True,22,0,244.26,6,0,293.31,0,0,680.14,28,0,225.75,3688.65,8,2026-03-23T08:50:30.648265+00:00,40.2003,0.7216,medium_outcome,observed_outcome_v1
osm_2166593496,Magic Beans,cafe,openstreetmap,27.7105055,85.3177578,1.0,6225.0,1383.0,1.3,4788.0,4.788,0.0,0.0,0.0,0,0.0,0.0,28.0,8.0,0.0,270.51,29.0,272.85,13.0,1.0,115.68,3.0,302.08,3.0,176.26,11,1,16053,6.2367,4.39,8.0,10.0,5.7928,8.7365,enriched,True,26,2,109.54,5,0,301.89,2,0,288.04,26,7,18.61,3742.12,8,2026-03-23T08:50:30.648265+00:00,44.5502,0.7434,medium_outcome,observed_outcome_v1
