place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at
osm_10011926516,Cafe Mirmire,cafe,openstreetmap,27.7421854,85.3292435,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,13.0,6.0,60.62,5770.67,8.0,1500.0,17.0,2.0,197.99,28.0,10.07,0.0,786.55,4,0,4900,3.0994,2.5,5.57125,3.9,7.8463,10.5348,fallback,True,17,2,197.99,28,7,10.07,0,0,786.55,13,6,60.62,5770.67,8,2026-03-23T08:50:30.648265+00:00
osm_10013318519,Karma Cafe,cafe,openstreetmap,27.7242888,85.362194,6.0,59247.0,13166.0,1.8,32915.0,32.915,0.0,0.0,0.0,0,0.0,0.0,36.0,8.0,0.0,262.15,6.0,237.35,13.0,1.0,169.15,5.0,235.06,2.0,197.03,14,2,4607,7.4871,2.82,10.0,10.0,15.8662,10.9895,enriched,True,27,3,83.23,5,0,235.06,0,0,1546.07,34,7,20.03,5447.61,8,2026-03-23T08:50:30.648265+00:00
osm_10013692755,Kaka and vatij Cafe,cafe,openstreetmap,27.7376017,85.316879,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,11.0,3.0,70.37,5477.95,8.0,1500.0,11.0,4.0,30.39,21.0,24.4,0.0,575.99,2,0,1770,2.1959,2.5,5.57125,3.3,7.8463,10.5348,fallback,True,11,4,30.39,21,5,24.4,0,0,575.99,11,3,70.37,5477.95,8,2026-03-23T08:50:30.648265+00:00
osm_10013827817,Unknown Cafe,cafe,openstreetmap,27.7435321,85.3156918,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,238.81,6038.71,8.0,1500.0,5.0,0.0,239.12,13.0,73.25,0.0,1010.75,0,0,0,0.0,1.75,5.57125,1.5,7.6213,10.5348,fallback,True,5,0,239.12,13,1,73.25,0,0,1010.75,5,0,238.81,6038.71,8,2026-03-23T08:50:30.648265+00:00
osm_10015229645,Chiya Coffee Cafe,cafe,openstreetmap,27.7373331,85.3117172,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,243.45,5589.94,8.0,1500.0,13.0,0.0,237.36,21.0,55.3,4.0,243.02,4,0,1600,2.8757,3.9,5.57125,1.5,8.2663,10.5348,fallback,True,13,0,237.36,21,2,55.3,4,0,243.02,5,0,243.45,5589.94,8,2026-03-23T08:50:30.648265+00:00
osm_10015238393,jammys bubble tea,cafe,openstreetmap,27.7381586,85.3140083,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,11.0,0.0,243.45,5595.26,8.0,1500.0,11.0,0.0,215.64,22.0,105.43,1.0,403.23,1,0,820,1.6921,2.85,5.57125,3.3,7.9513,10.5348,fallback,True,11,0,215.64,22,5,105.43,1,0,403.23,11,0,243.45,5595.26,8,2026-03-23T08:50:30.648265+00:00
osm_10015764417,Western Foods Bakery and Cafe,cafe,openstreetmap,27.7471117,85.3155397,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,140.2,6380.17,8.0,1500.0,6.0,0.0,221.73,9.0,67.53,0.0,941.21,0,0,0,0.0,1.9,5.57125,0.9,7.6663,10.5348,fallback,True,6,0,221.73,9,3,67.53,0,0,941.21,3,1,140.2,6380.17,8,2026-03-23T08:50:30.648265+00:00
osm_10017276534,Cups,cafe,openstreetmap,27.7405887,85.3262692,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,15.0,2.0,125.67,5626.92,8.0,1500.0,18.0,3.0,27.78,22.0,75.4,0.0,1023.5,3,0,4600,2.7368,2.5,5.57125,4.5,7.8463,10.5348,fallback,True,18,3,27.78,22,6,75.4,0,0,1023.5,15,2,125.67,5626.92,8,2026-03-23T08:50:30.648265+00:00
osm_10017278898,Thali Cafe,cafe,openstreetmap,27.7418112,85.3307291,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,10.0,6.0,37.81,5740.6,8.0,1500.0,18.0,4.0,53.23,25.0,110.74,0.0,636.16,5,0,3830,3.4002,2.5,5.57125,3.0,7.8463,10.5348,fallback,True,18,4,53.23,25,4,110.74,0,0,636.16,10,6,37.81,5740.6,8,2026-03-23T08:50:30.648265+00:00
osm_10017280906,Mountainbrew Coffee Academy,cafe,openstreetmap,27.7372436,85.3162895,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,12.0,2.0,70.37,5459.93,8.0,1500.0,13.0,3.0,97.31,20.0,51.87,0.0,506.09,3,0,2820,2.639,2.5,5.57125,3.6,7.8463,10.5348,fallback,True,13,3,97.31,20,5,51.87,0,0,506.09,12,2,70.37,5459.93,8,2026-03-23T08:50:30.648265+00:00
